codigo_interno,codigo_fornecedor,categoria,marca,descricao,genero,preco_custo,preco_venda,qtd_variantes,estoque_total
BOT006,456260151,BOTA,CLASSIC,BOTA TENIS,MASCULINO,265.91,615.9,1,1
CM001,61M,CAMISA,TEAM ROPING,MANGA CURTA,MASCULINO,129.9,285.78,1,1
CM002,61G,CAMISA,TEAM ROPING,MANGA CURTA,MASCULINO,129.9,285.78,1,1
CM003,363171,CAMISA,AUSTIN,MANGA CURTA,MASCULINO,139.9,307.7,1,2
CM004,363171,CAMISA,AUSTIN,MANGA CURTA,MASCULINO,139.9,307.7,1,1
CM005,363171,CAMISA,AUSTIN,MANGA CURTA,MASCULINO,139.9,307.7,1,1
CM006,368171,CAMISA,AUSTIN,MANGA LONGA,MASCULINO,149.9,329.78,1,2
CM007,368171,CAMISA,AUSTIN,MANGA LONGA,MASCULINO,149.9,329.78,2,2
CM008,368171,CAMISA,AUSTIN,MANGA LONGA,MASCULINO,149.9,329.78,1,2
CM009,368171,CAMISA,AUSTIN,MANGA LONGA,MASCULINO,149.9,329.78,1,1
CAL001,CCM-LON-38/48,CALCA,CLASSIC,JEANS,MASCULINO,109.4,270.9,1,1
CAL002,ROUTE-PDM025,CALCA,TEXAS FARM,JEANS,MASCULINO,123.41,270.5,2,2
CAL003,STYLE THREE HARD-PDM003,CALCA,TEXAS FARM,JEANS,MASCULINO,120.56,265.25,2,2
CAL004,STYLE FOUR HARD-PDM004,CALCA,TEXAS FARM,JEANS,MASCULINO,120.56,265.25,2,2
CAL005,HARD-PDM021,CALCA,TEXAS FARM,JEANS,MASCULINO,135.75,298.65,1,1
CAL006,STYLE MB31534001-CI,CALCA,CINCH SAWYER,JEANS,MASCULINO,454.0,998.0,1,1
CAL032,STYLE FOUR HARD-PDM004,CALCA,TEXAS FARM,JEANS,MASCULINO,120.56,265.25,1,1
CAL033,STYLE THREE HARD-PDM003,CALCA,TEXAS FARM,JEANS,MASCULINO,120.56,265.25,1,1
CAL034,HARD-PDM021,CALCA,TEXAS FARM,JEANS,MASCULINO,135.75,298.65,1,1
CAL035,STYLE MB90530001-CI,CALCA,CINCH SAWYER,JEANS,MASCULINO,310.0,680.0,3,3
CAL036,CCM-LON-32/40,CALCA,CLASSIC,JEANS,MASCULINO,109.4,240.9,1,1
CAL037,109950,CALCA,MISS COUNTRY,JEANS,FEMININO,381.0,760.0,1,1
BOT007,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT008,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT009,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT010,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT011,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT012,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT013,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT014,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,2
BOT015,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,2
BOT016,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,2
BOT017,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT018,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT019,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT020,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT021,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT022,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT023,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT024,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,2
BOT025,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT026,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,2
BOT027,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT028,DL024,BOTA,SHERIFF WEST,COURO,MASCULINO,269.0,590.0,1,1
BOT029,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT030,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
BOT031,DL004,BOTA,SHERIFF WEST,COURO,FEMININO,299.0,660.0,1,1
