codigo_barras,produto_nome,variante_cor,variante_tamanho,quantidade_atual,preco_venda,preco_custo
CAL030-AZU-48.0,CALCA CINCH SAWYER (MASCULINO),AZUL,48.0,1,726.00,330.00
CAL035-AZU-40.0,CALCA CINCH SAWYER JEANS (MASCULINO),AZUL,40.0,1,680.00,310.00
CAL035-AZU-42.0,CALCA CINCH SAWYER JEANS (MASCULINO),AZUL,42.0,1,680.00,310.00
CAL006-AZU-46.0,CALCA CINCH SAWYER JEANS (MASCULINO),AZUL ESCURO,46.0,1,998.00,454.00
CAL055-AZU-44.0,CALCA CINCH SILVER LABEL 2 JEANS (MASCULINO),AZUL ESCURO,44.0,1,725.00,330.00
CAL031-AZU-46.0,CALCA CINCH SILVER LABEL SLIM (MASCULINO),AZUL ESCURA,46.0,1,726.00,330.00
CAL040-AZU-36.0,CALCA CLASSIC JEANS (FEMININO),AZUL CLARO,36.0,1,260.00,119.00
CAL043-AZU-38.0,CALCA CLASSIC JEANS (FEMININO),AZUL CLARO,38.0,1,260.00,119.00
CAL061-AZU-38.0,CALCA CLASSIC JEANS (FEMININO),AZUL CLARO,38.0,1,260.00,119.00
CAL053-AZU-38.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,38.0,1,240.00,109.00
CAL036-AZU-40.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,40.0,1,240.90,109.40
CAL048-AZU-42.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,42.0,1,240.00,109.00
CAL047-AZU-44.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,44.0,1,240.00,109.00
CAL046-AZU-46.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,46.0,1,240.00,109.00
CAL001-AZU-48.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,48.0,1,270.90,109.40
CAL049-AZU-50.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,50.0,1,240.00,109.00
CAL045-AZU-52.0,CALCA CLASSIC JEANS (MASCULINO),AZUL ESCURO,52.0,1,240.00,109.00
